NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
2      1     11      2       2 n_sum.sum_closure_default@52-53@../algorithms/algorithms/arrays/n_sum.py
2      1     11      2       2 n_sum.same_closure_default@64-65@../algorithms/algorithms/arrays/n_sum.py
2      1     18      1       2 __repr__@18-19@../algorithms/algorithms/arrays/merge_intervals.py
2      1     19      1       2 __iter__@21-22@../algorithms/algorithms/arrays/merge_intervals.py
2      1     13      1       2 __len__@29-30@../algorithms/algorithms/arrays/merge_intervals.py
2      1     11      1       3 as_list@42-44@../algorithms/algorithms/arrays/merge_intervals.py
2      1     15      1       2 unary@22-23@../algorithms/algorithms/compression/elias.py
2      1     13      1       5 elias_gamma@43-47@../algorithms/algorithms/compression/elias.py
2      1     13      1       5 elias_delta@49-53@../algorithms/algorithms/compression/elias.py
2      1     15      2       2 __lt__@19-20@../algorithms/algorithms/compression/huffman_coding.py
2      1     15      2       2 __gt__@22-23@../algorithms/algorithms/compression/huffman_coding.py
2      1     15      2       2 __eq__@25-26@../algorithms/algorithms/compression/huffman_coding.py
2      1     18      1       2 __str__@28-29@../algorithms/algorithms/compression/huffman_coding.py
2      1     18      1       2 __repr__@31-32@../algorithms/algorithms/compression/huffman_coding.py
2      1     16      2       2 write_char@127-128@../algorithms/algorithms/compression/huffman_coding.py
2      1      6      1       2 __init__@228-229@../algorithms/algorithms/compression/huffman_coding.py
2      1     15      1       5 alice_private_key@106-110@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     19      3       5 alice_public_key@113-117@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     15      1       5 bob_private_key@120-124@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     19      3       5 bob_public_key@127-131@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     19      3       5 alice_shared_key@134-138@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     19      3       5 bob_shared_key@141-145@../algorithms/algorithms/maths/diffie_hellman_key_exchange.py
2      1     38      1       3 is_strobogrammatic2@28-30@../algorithms/algorithms/maths/is_strobogrammatic.py
2      1     25      2       3 lcm@26-28@../algorithms/algorithms/maths/gcd.py
2      1     27      3       2 encrypt@88-89@../algorithms/algorithms/maths/rsa.py
2      1     27      3       2 decrypt@92-93@../algorithms/algorithms/maths/rsa.py
2      1     13      1       7 gen_strobogrammatic@11-17@../algorithms/algorithms/maths/generate_strobogrammtic.py
